"analysisId","Eval","predictionThreshold","PersonCountAtRisk","PersonCountWithOutcome","averagePredictedProbability","StDevPredictedProbability","MinPredictedProbability","P25PredictedProbability","MedianPredictedProbability","P75PredictedProbability","MaxPredictedProbability","observedIncidence"
"20170223141334","test",0,51330,8,2.30179099394576e-05,7.8892020672513e-06,5.53271624548292e-07,1.71142280019041e-05,2.38743622803306e-05,2.96826873833179e-05,3.52101012005456e-05,0.000155854276251705
"20170223141334","test",3.52101164637239e-05,51329,0,4.5678376357317e-05,6.07727422973378e-06,3.52101520778065e-05,4.04330454387815e-05,4.56012744324011e-05,5.09567766391603e-05,5.62686847136543e-05,0
"20170223141334","test",5.62687516711923e-05,51329,3,6.76995311176998e-05,6.76869004321164e-06,5.6268796309551e-05,6.18443581380936e-05,6.75279223717405e-05,7.3548574403958e-05,7.97414113390618e-05,5.84464922363576e-05
"20170223141334","test",7.9742061262472e-05,51331,8,9.33769270850197e-05,7.97657232902881e-06,7.97421334761842e-05,8.64726657774288e-05,9.32595048655334e-05,0.000100252552503717,0.000107364989280209,0.000155851239991428
"20170223141334","test",0.000107364989280209,51328,9,0.000122117939305925,8.96957329713603e-06,0.000107366077384351,0.000114301336739441,0.000121803737092674,0.000129556268271266,0.000139231707490229,0.00017534289276808
"20170223141334","test",0.000139233182787506,51329,10,0.000163863479860973,1.55001660255585e-05,0.000139234658084784,0.00014962326780627,0.000163396126283951,0.000177562766255559,0.000192852158073914,0.000194821640787859
"20170223141334","test",0.000192853249422522,51330,11,0.000269819114890336,5.85815193870929e-05,0.000192853522259674,0.000215306353100598,0.000258352042075235,0.000317958897437826,0.000386683000628392,0.000214299629846094
"20170223141334","test",0.000386684054543905,51432,19,0.000489859727542997,5.82334684781316e-05,0.00038669353978352,0.00043946523485315,0.000489612608705343,0.000537969273243928,0.000589659442485898,0.000369419816456681
"20170223141334","test",0.000589659442485898,51233,28,0.000688098399877253,6.3242631492105e-05,0.000589685090847566,0.000636139509156618,0.000682390369041375,0.000724404891874269,0.000817930505070513,0.000546522749009428
"20170223141334","test",0.000817930505070513,51323,86,0.00165476266570771,0.00802145359081923,0.000817935328365393,0.00093074877923739,0.00104245123373518,0.00124773388750498,0.869156693712815,0.00167566198390585
